FirstName,gender
wilhemina,0
gether,1
christopher,1
cielo,0
stephen john,1
marynie,0
gladys,0
flordeliza,0
anecita,0
ernesto,1
gregelyn,0
gemelo,1
ma. jemaliel,0
victoria,0
quirina libarios,0
jumely lutang,0
gloria,0
geofrey,1
lydia,0
gabriel,1
ritcel,0
gerry,1
dalia,0
orodel,1
diary,0
janice,0
rebecca,0
gerry mae,1
hanzel,1
bella,0
marry ann,0
edgardo,1
felicitas,0
rechael,0
annaliza,0
monir h,1
laniebelle,0
leopoldo,1
guadalupe,0
alberto,1
mark ryan,1
antonia,0
janice talibutab,0
eva,0
gerardo,1
aloha romano,0
wenefredo,1
merle,0
darwin,1
zosimo b,0
gerry,1
sabrina,0
mary grace,0
sheila,0
irene,1
joclyn,0
noli,1
rodelia,0
geselle ann,0
dahil gonzales,0
angelita,0
jeffren orozco,1
"felicidad,",0
john anthony,1
juliet,0
jonathan,1
romel,1
ernesto,1
marjorie,0
custodio,1
aljebert,1
chedder jay,1
aileen,0
eugenio jr.,1
virginia,0
claverito,1
renato sr.,1
tito,1
junrel,1
danilo,1
richie,1
myrnam,0
gorgie alviola,1
marcelina,0
larry loreto,1
gliceria,0
rogelio,1
enecasio,1
mercedes,0
leodegario p,1
mercedes,0
wilson,1
ronald,1
ferdinand,1
santiago jr.,1
daisylyn cepeda,0
niño,1
lutgarda,0
michelle,0
maria christine,0
franco,1
joelito,1
orlando,1
gloria,0
maydie,1
charisse anne,0
angelito,1
eduardo,1
myla,0
jayreen,1
vilma vilbar,0
quirby anjelo,1
edita,0
amador,1
jucelyn,0
mark anthony,1
nestor,1
estrella,0
florinda,0
antonio jr.,1
nestor,1
zenaida,0
joyce amethyst,0
gil saavedra,1
gina,0
felipe,1
ramel,1
regie,1
ricardo aquino,1
melanie,0
bella,0
solomon,1
micaela danica,0
ronnie,1
donna,0
daryl,1
leonicia,0
cecilia cordero,0
charis,0
mary ann,0
marlouie,0
marlyn,0
ma. victoiria,0
john mark,1
adilina,0
mario sr.,1
bonifacio,1
delia,0
juanita b,0
cerilo,1
charlito,1
felipa,0
renita,0
roel,1
june bell,1
rey,1
nilfa quilaib,0
nellie,0
natividad,0
jandy pairat,0
prospero,1
abdul raof,1
lemuel,1
ganilo,1
justine,1
albert,1
rolando diana,1
marc raymond,1
alfhea lyn,0
melody lyn,0
jenelyn torio,0
henry,1
mary myzel,0
raylan,1
analiza,0
alejandro,1
juraiya,0
pascuala,0
fedencio,1
julian,1
rodrigo b,1
shiena marie,0
emilyn,0
julita,0
joanne,0
rommel,0
sarah,0
vicente,1
roy,1
misar,1
andres,1
evangelyn,0
gina,0
rebecca,0
ismael,1
analie,0
yolanda,0
shermine,0
reyna,0
melchor f,1
ritchie,1
helen,0
cristine gay,0
jay roy,1
"william, jo",1
dolores,0
jeffrey,1
evangelista,0
fe,0
helen,0
johnson,1
jason,1
jene clarence,0
tommy,1
freddie,1
froilan m,1
joenard,1
rodel,1
sheila,0
laudebel,0
cedrick,1
ma. antonieta,0
"aldrin,",1
alex,1
meliton,1
avelino,1
jona,0
maryclair,0
pedro,1
noel,1
doris regidor,0
maria dolores,0
normina,0
inocencio,1
anabeth,0
leonarda,0
felizardo,1
gilbert,1
honorio,1
ramon,1
virgie,1
myla,0
nellie,0
romelyn,0
melchora,0
adela,0
jesse,1
almarie,0
sarah,0
mat charlie,1
valera,0
rocaya,0
gemma,0
emma ruth,0
neo john,1
euberto,1
ofelia,0
margielyn,0
mary jane,0
estanislao,1
magelende,0
roaida,0
maximiano,1
maria nelva,0
niezljane,0
kylle aloysius,1
kim erwin,1
christine marie,0
sammy jr.,1
airyn,0
celeste,0
josie,1
cris dennies,1
roldan,1
michelle,0
nursida,0
divine grace,0
remedios,0
olando,0
johnny,1
ignacio jr.,1
mae ann,0
jimer,1
loriel,0
methyl joy,0
santos,1
marcelina,0
ryan,1
jerlyn,0
salvador,1
kevin,1
agnes,0
saturnino,1
carmelo,1
renato,1
rocelyn,1
alyssa mae,0
edwardo,1
brayhanne,1
julio,1
amadeo,1
jemroe,1
anecita,0
frank,1
josefina,0
renato,1
ednel,1
bebia,0
leopoldo,1
melchor pahati,1
jhovedel somera,0
junifer,1
virginia,0
mary jane,0
airine,0
luzerfina,0
jonalyn,1
parlen,0
efraim,1
rosabeth,0
edwin,1
kristine,0
dann christian,1
lucresia,0
andres,1
rene,1
regin,0
luther,1
lauro,1
james,1
mercedita,0
norbert,1
elpedio,1
mary jacklyn,0
rodel,1
aileen,0
vicente,1
celeste,0
mary ann,0
marilou,0
estinely mallare,0
ariel m,1
robert,1
alberto,1
rhea lynne,0
bernardo,1
rotchie,0
jeda kyle,0
rogerio,1
carlos,1
juliet,0
rosendo,1
paul persius,1
armando,1
raquel,0
milben,1
rubelyn,0
arcadio,1
janette,0
edgardo,1
joaquin s.,1
rovelyn,0
cerilo,1
lorna may,0
maria luz,0
john roy,1
maria ann,0
perputuo,1
al-amin,1
jenielyn jovito,0
nestor,1
marivic,0
esperanza,0
marie charlotte,0
wilson,1
brenda,0
delmanny,1
roselyn,0
mary,0
segundina,0
evelyn,0
arnel,1
arnelle,1
armando,1
maricar,0
robert,1
charlita,0
marissa,0
martina,0
matt,1
allan,1
christina,0
violeta,0
cezar,1
jerry,1
analyn,0
angelina,0
raymond,1
mary fe,0
irene,0
jocel,0
tiffany aaliyah,0
mischell,0
merlyn,0
mario,1
lou marie,0
meriam macabinquil,0
analiza g,0
gina,0
victoria,0
charity,0
marvin,1
armando,1
edilberto,1
kenny,0
genesis john,1
lorna,0
lilia,0
manuel,1
roel,1
rosie,0
rexor,1
gloria,0
gloria,0
leo jay,1
ernesto,1
cesar,1
ruben,1
isidro,1
angelie,0
ricardo,1
arlene,0
kinta- manis,0
romualdo,1
mercedita,0
remigio,1
rosita,0
rodolfo,1
melieh,0
aivie,0
george carlos,1
bernabe lirazan,1
manuel,1
elaine,0
vimaylin,0
marites,0
aldwin,1
glen,1
rosalinda,1
francisca,0
tita,0
rodulfo,1
flaviano jr.,1
ester,0
alirna,0
maria nema,1
goldena,0
rita,0
analyn,0
dante antonio,1
di¥a,0
snowy marie,0
rey,1
genalyn,0
elino,1
pacita,0
emmanuel t,1
eufrinica,0
martina mina,0
sapia,0
cora,0
jayson,1
jason,1
patrick,1
juno,0
archel joy,0
jerro,1
gloria joycelyn,0
annilyn,0
roderick,1
felicitas,0
petronilo a,1
karen,0
ronald,1
gemilan,1
juleste,0
maria aisa,0
generosa,0
joseph,1
karen,0
warren,1
merna capangyariha,0
janice,0
joemar,1
marietta,0
mona lisa,0
jose,1
martin,1
mary grace,0
mariam,0
chrisfel,0
john herick,1
jhune,1
marites,0
siona,0
rosalito,1
arcelo,1
evan,0
bevlaner,1
sharon,0
sarah jane,0
rio mark,1
loly,0
sulpecia,0
rogelito,1
jessa jane,0
zaldy,1
janet,0
dominga,0
rebecca b,0
mary jane,0
ladislao,1
jeremiah faith,0
cristian,1
perlita p,0
eduardo,1
angelbert,1
renaldo,1
ernesto,1
reymart,1
rodolfo,1
jai astin,1
rosielly,0
mercedes e.,0
salama,0
emelio,1
jorge,1
marilou,0
janryl,1
marife joy,0
rechell,0
maricel,0
mary jean,0
jay,1
ana,0
grace,0
joey,1
pancho,1
gina,0
imelda,0
louegie,1
edgardo,1
manolo sr.,1
harry,1
marivel,0
joel,1
catalina,0
concordio,1
ma. teresita,0
joan,0
divina,0
theresa,0
josef,1
amy,0
ma. teresita,0
antonio,1
mercedita,0
hermino,1
joeric,1
arnel,1
ednel,1
henry,1
ma. ethel,0
norielyn,0
rosana,0
eduardo,1
elsa,0
gualberto,1
semion,1
gemmark,1
rachelle,0
rosalita,0
lanie,0
camilo ellorina,1
susana,1
bartolome,1
jared joy,1
jose luther,1
mario,1
aida,0
margielyn,0
vlamier lydda,0
mylene,0
marc joseph,1
kent lim,1
richard esmenda,0
marciana,0
jun archieval,1
virginia,0
desiree,0
regalado,1
jovenal,1
adelaida,0
rufino,1
randy m,1
jason wayne,1
emelia,0
jennifer,1
ledoven,1
manuel,1
vicente,1
misse,1
elvira,0
merlinda,0
kristie mae,0
jaime,1
antonio,1
felix,1
vivien joy,0
marcellee,0
elena,0
consuelo,1
maria,0
jorge,1
analiza,0
mary mae,0
rechell,0
stephanie,0
genierose,0
cherry rose,0
ruel,1
gloria,0
leonardo,1
mark vincent,1
bendilo,1
may anson,0
sylvia,0
ma. isabel,0
marina,0
jemyblyn,0
jocelyn,0
junedrie,1
fidel,1
editha,0
viegilio,1
marciano sala,1
benhur,1
adrian,1
felix,1
monica,0
bernardina,0
loreto,1
romula,0
emelita,0
luciano,1
nemesio,1
john mark,1
marianita,0
jenny,0
lorcely,0
dolores d,0
analyn,0
lina,0
rosita,0
mark angelo,1
visitacion,0
leonardo,1
sauda,0
jame mark,1
sandra,0
jennie,0
liana jean,0
celife,0
salvador,1
gabriel,1
aladin,1
ranny,1
adrian,1
mary ann,0
bernadette,0
remedios,0
eulalia,0
rustie,1
conrad,1
arcelia,0
diosdado,1
maria billy,0
marylene,0
charlene,1
detro,1
julius kenneth,1
dante,1
queenie,0
beatriz,0
gil billacura,1
aljhon,0
roel,1
felipe,1
valentina,0
frederick sr.,1
diosdado,1
matilde,1
reynaldo,1
fortunato jr.,1
benajar,1
sheina lee,0
elvin d,0
estrella,0
melly,0
mariejoy,0
mary grace,0
emma,0
cleopatra,0
charlie,1
janner,1
kiervin,1
lorman,1
angel,0
yolanda,0
olimpio jr,1
ofelia,0
anaveza,0
delia,0
ruffy,1
jess,1
cyril,1
giovannie,1
gabriel,1
lee,1
eden,0
vilmarie,0
magdalino,1
crisanto,1
marissa garcia,0
mark erol,1
gina,0
flora,0
sharon santos,0
virgilio,1
leonita,0
gillian,0
leonardo,1
katrina m,0
perla,0
roselyn p,0
reinero,1
vevencio,1
nelson novero,1
lani,0
chona,0
anne grace,0
moises,1
ana,0
elvie,0
robelyn,0
mudzria,0
dionisia,0
annabel,0
dant,1
mauricio,1
artela,0
reniza libertino,0
glyn,1
ilyn,0
rosalinda,0
martina,0
elegio,1
mark rey,1
desie,0
marjorie,0
shelmie,0
alfredo jr,1
fedilina,0
darmie,1
"maximo, bi",1
luzonia,0
rick boy,1
alphi,0
m. putong,0
rhoda,0
alberto jr,1
narciso espera,1
julia,0
rubylin,0
larry boy,1
willa,0
ma. cristina,0
keven,1
tuburcio,1
ernesto,1
susan,0
luzvisminda,0
renee patte,1
wilfredo,1
ma. concepcion,0
jemuel,1
danilo arthur,1
jonard,1
dan rey,1
theresa,0
yolanda,1
mary ann,0
mary jean,0
ronalen,0
edith,0
analiza c,0
allyson,1
deogenes,1
bel,0
rolly,1
naydita,0
feliciano,0
bobby,1
clarita m,0
letecia,0
roland,1
jean,1
gamaliel,1
felix,1
emerson,1
jade,1
john lloyd,1
alimodin,1
feljun,1
eleno,1
agapito,1
mark anthony,1
carolina,0
maricris,0
leonerdo,1
marizel,0
denia,0
hazel,0
zardo,1
may anne,0
lydia,0
glenn mark,1
michael,1
ma. delia,0
cristito,1
tito,1
ryan,1
cherney,0
peter,1
jovany,1
val,1
baby mae,0
adriano,1
aurelia,0
joey valmorida,1
thelma,0
rufina,0
julieta,0
orlando,1
alberto,1
violeta,0
edelyn,0
veronica,0
adilen,0
pantaleon,1
william,1
lester,1
yonesie jr.,0
rosalinda,1
merie ann,0
emelita bellez,0
edgardo,1
jefer,1
noel,0
kenneth,0
alona,0
rey,1
charie,1
luz,1
jasmin,0
anthony,1
simplicio,1
diony,1
alice,0
abraham,1
nur-ainie,0
andy,1
elvie,0
amante,1
danny,1
laverne,0
vivencio,1
anang serma,0
marcela,0
benjamin,1
nariel,1
antonio,1
jaime,1
carmelita melgar,0
teresita rosalinda,0
editha,0
edmundo,1
rolly,1
diogenes,1
redentor a.,1
florencio,1
jedidiah micah,0
carlos,1
ronello,1
jessica,0
renato a,1
martin,1
winfred,1
virginia,0
ernie cris,0
sherly,0
junven,1
salvador,1
dennis,1
romel,1
victoriano,1
melchor,1
helyn,0
joyce jamboy,0
lodgie,0
rolie,1
teresita ampoloquio,0
mariama,0
merinisa,0
arlyn,0
lufel alivio,1
jason,1
frime may,0
james,1
genevive,0
lilibeth,1
ira jones,1
alberto,1
regner,1
calixto g.,1
evely,0
rennie,0
norberto,1
guillermo sr.,1
alanodin,1
mario,1
patricia,1
evangeline,0
sonia,0
ernesto,1
restituto jr.,1
richellen,0
edda,0
grace,0
jay pee,1
danny boy,1
marilou,0
adelaida,0
alicia egoc,0
emile,0
rufino,1
ruben,1
efraim,1
aida,0
rosa leah,0
orchie esmeralda,0
levi julius,1
bryce ethan,1
laneddienith,0
fatima,0
doreen amor,0
ricardo,1
ricardo,1
neijei,0
eldwin encinada,1
marilyn alma,0
robert,1
ever tacaisan,0
robie may,0
orlando,1
albert,1
domingo,1
albert,1
rene,1
mario,1
hilpolito,1
geofrey,1
john benedict,1
n,0
vernie,1
josephine,0
jaime,1
leonardo,1
rosela e,0
elenita,0
marilou,0
ma. cecilia,0
salmorin,1
rosalina,0
jovito e,1
romulo,1
karen,0
lucio,1
ivy marie,0
riza cris,0
berna,0
twinkle kaye,0
susana,0
analyn misias,0
charmaine baldo,0
francisca,0
leliosa araneta,0
warlito,1
celestina,0
nick,1
rochell,0
corazon,0
oscar,1
jane lyka,0
adela,0
quadalope,0
rommel,1
aida cristina,0
diosdado,1
irene,0
renato,1
shiela mae,0
alma,0
mychelle,0
marc nicholes,1
glaiza,0
maria feliza,0
rogelio jr.,1
pedro d.,1
diomedes,1
genewil,1
ma. fe,0
julito irader,0
ana,0
manuel,1
josue jr,1
kirgie,1
eliezer,1
hilario,1
billy kid,1
ma. melody,0
daisy jane,0
carren,0
cheryl,0
vebie ann,0
leonilo,1
warren,1
jonelle,0
michelle,0
antonio,1
norilyn,0
gemma,0
rodvick,1
lilia,0
ninoy,1
marilou,0
narcisa,0
mary jane,0
leria,0
evelyn,0
david pantanosas,1
juliet,0
maria gemma,0
tammy,1
julita,0
anse,0
vanessa,0
micheal,1
marilyn,0
aldrin,1
romeo,1
joseph,1
josephine,0
emelyn,0
sven franco,1
cita,0
jessie may,0
jose sr,1
noel,1
hernan,1
julian jr.,1
bobbin,1
rutchel,0
yolanda,0
imelda,0
celeste ann,0
christopher,1
farida,0
ingrid,0
rene,1
felix,1
jairus vincent,1
jomaeca keah,0
vic ian,1
geralden concepcion,0
loreto,1
indin,0
marca cynthia,0
edgar,1
lorie paul,1
salvador,0
nina marie,0
teofila,0
aurora,0
estrelita,0
glorefe,1
ernesto,1
jed,1
antonio,1
juvy,0
joel,1
saint lloyd,1
macario,1
valentino,1
mardie,1
editha,0
mario,1
roy michael,1
mark joseph,1
antoniet,0
concordia,0
salvador,1
rose mae,0
olive &/or,0
rolly,1
delia,0
cosme,1
rodrego,1
debbie dalo,0
jenny,0
kristine mae,0
rodieve,1
maribeth,0
crisanto,1
mary joy,0
antonio,1
lorna,0
anecito,1
juvy,0
rose mary,1
jannet,0
alberto,1
gregoria,0
gerundio,1
jeralyn,0
stella marie,0
pacita,0
rodrigo,1
arianee christine,0
roger,1
cherrylyn,0
rowe,1
dan orion,1
alberto,1
mary -an,0
zenaida,0
tessie,0
grace eden,0
jay,1
patricio,1
celienne,0
elsa,0
beatriz,0
ma. jelyn,0
rodelio,1
marife,0
mary louise,0
ritlyn tiongco,0
carmina,0
diane,0
evelyn m,0
eliboy,1
marites,1
gerlie,0
venus .,0
ellen,0
rashel,0
sonriza,0
cherill,0
dimfa dumaguing,0
jonasty roble,1
retchie,1
mussah,0
neyshell,0
delia,0
norma,0
al rio,1
jasmin,0
rosalinda,0
acob anita,0
vincent raymund,1
pedro,1
francis jupiter,1
kelly bryan,1
carine/or teodomiro,0
ana may,0
jessie,1
francia,0
ma.riza,0
ryan joy,1
florecito,1
cristino,1
nestor,1
marissa,0
johaira,0
magno,1
ruben,1
jhonatan,1
maricel,0
myrna.,0
johnny,1
meraflor,0
kevin rey,1
desiree,0
edgar,1
godofredo,1
epifanio,1
florencio,1
jocelyn,0
elizabeth,0
raymundo,1
gretchen,0
cristina,0
ma. cristina,0
regier,1
mia,0
joanne,0
joseph erl,1
precy,0
eleonora,0
aldrin n,1
"domingo, jr.",1
julie,0
prospera,0
susan,0
armando,1
jeffrey,1
jonathan,1
carlos,1
diosdado,1
john ray,1
eleonor,0
joven,1
lito,1
jeff rc,0
haynes misha,1
tony,1
rebecca,0
jeanette,0
melvin,1
fredie boy,1
limwel,1
ryan,1
jeffrey,1
frankline,1
rizaldo,1
rebecca,0
dominador,1
smyrna,0
larry loreto,1
herbert,1
felicisimo,1
rowena,0
maria golda,0
desiderio,1
dexter,1
michael,1
flora,0
bernabe,1
joyce,0
tomas,1
pedro jr.,1
nelmar,1
rina,0
jessie,1
james,1
salome,0
rosalita,0
enelida j,0
joselito samont,1
ramonito agustin,1
kent,1
genesis,1
aristedes,1
ian gabriel,1
lorlin,1
raymund,1
rosalina,0
claudine claire,0
alexander,1
ronald,1
bernadeth,0
noel,1
hermilo,1
alselmo,1
george,1
christie,0
juvelyn,0
robert,1
edna,0
ian john,1
inocentio,1
juanita muring,1
zosimo c..,1
asnoding,1
jay khert,1
louchie,0
april anthony,1
rayham,0
ronnel,1
allelu mae,1
alfredo,1
rey,1
allan,1
marifel,0
mildred,0
luz,0
marlene,0
bitty,0
teodoro,1
marlon,1
anaclito,1
nicolas,1
christita sibayan,0
bo gritz,1
evangeline,0
annabelle,0
elizabeth,0
minda,0
catherine,0
james august,1
archie medez,1
jireeh,0
ronald,1
rechiel,0
evelyn,0
kristy lovell,0
angelo,1
jonard,1
paul,1
rica jane,0
vivencio,1
aida,0
elena,0
carlo jay,1
arneil,1
flordes,0
vivian,0
emelita,0
shiela,0
lorenzoa,1
aisa,0
rosalie,0
remegio jr.,1
eileen marie,0
joel,1
mhar efrael,1
castora,0
jaime,0
marvin,1
roselyn,0
gerryson,1
eric,1
cecilia corazon,0
raymon,1
germie,1
cristeta j,0
ma. jinebelle,0
aj,1
meriam,0
richard,1
nelsen,0
cesar jr.,1
haydee,1
felix,1
felix,1
charice,0
limson,1
jay michael,1
christy ann,0
liwliwa,0
grace,0
jecco angelo,1
george,1
lourdes,0
anelyn,0
maylin,0
wilmer,1
"lauro,",1
judith,0
lea,0
jeffrey alca,1
christian,1
gloria,0
maria shiela,0
haide,0
jonathan,1
valia,0
feliciano,1
elvira,0
norma,0
jose,1
christopher,1
marcelina,0
gemar,1
elsa,0
jr. crisant,1
sevilla,0
elsa,0
salvacion,0
glenda,0
conchitina,0
jane,0
sitti,0
may antoninett,0
lanie,0
marjon,1
jimboy,1
carol lyna,0
rey,1
teresita,0
marisa,0
francis,1
rey,1
kheza louise,0
menchie,0
stephanie,0
lyn,0
ruth,1
cresencia,0
ma. eden,0
lorena,0
jezreen,0
rechele,0
eduardo,1
novelyn,0
susana,0
angelito sr.,1
mercedita,0
archie,1
maximina,0
maribeth visda,0
ariel,1
nelson,1
alexander padayao,1
julian jr,1
cherryben,0
william,1
sherlyn,0
samra,0
michael,1
emma miguel,0
heide,0
felicisimo,1
anamemor,0
rex,1
marites badla-an,0
jerry,1
allan vincent,1
canaya,0
joana marie,0
fedirico,1
bernardo,1
leonora,0
peter,1
merlyn,0
gemma,0
jenny,0
maria aiza,0
rodrigo jr.,1
josephine,0
geralyn,0
belinda,0
imelda,0
robustiano,1
rosa,0
shela may,0
wilma,0
lailanie,0
kristine sarah,0
clarissa,0
roberto,1
gilda,0
russel john,1
kimberly joy,0
thomas andrew,1
arlen gay,0
meriekris,0
francisco albert,1
manilyn,0
sulit,0
adelina,0
emma,0
mila,0
arlene,0
ronald webb,1
dagko,1
romana,0
luis,1
cecilia,0
maloora,0
marky,1
almendras,1
felipe,1
victoriano,1
rowena,0
juanito,1
maria esther,0
janilito,1
monina,0
marlyn,0
kristine,0
myrna,0
shiela,0
elma,0
mira joy,0
renaldo gonzaga,1
mark anthony,1
hermenio,1
lolita,0
teresit,0
emiltom,1
dominador sr,1
rey,1
christy,0
jake,1
harry,1
prestene marie,0
luz lenette,0
ronald gonzales,1
editha,0
winlynd may,0
nelie,0
anita,0
ronnie datwin,1
henry,1
natividad,0
maymana,0
edwin,1
lazaro,1
felipa,0
annabelle,0
generoso,1
julieta l,0
jemarica,0
ronald,1
dalamacia,0
susan,0
ramil,1
reymark,1
potencia,1
letecia,0
leah revilleza,0
dalia,0
julie,0
antero s,1
epifania,0
dionesio,1
elisa b,0
christine,0
edgar,1
diana,0
ernesto,1
geneveive,0
riza cobrado,0
joey,1
emma,0
ma. melleza,0
michellyn,0
elma,0
margarito jr.,1
mary ann,0
azenith,0
melanie,0
nenita,0
florito,1
alberta,0
girlie,0
lea,0
jay,1
cristina,0
edwin,1
imelda,0
moises,1
rhodora,0
rodolfo,1
ma. joyce,0
rogelio,1
estelita,0
allan,1
juan,1
ronald,1
rosalinda,0
mercedita,0
sheila marie,0
yolanda,0
enrico jr.,1
fatima,0
cyril,0
donato,1
virgilio,1
marilyn-delos santos,0
angelo,1
manolo,1
paul ramon,1
vernie,1
marilou,0
myrna,0
rhea,0
antonio jr.,1
susan,0
henorio,1
kristine joy,0
aleli,0
bienvenido,1
ivy jennifer,0
joel,1
jeda kyle,0
enrique jr,1
alan,1
edmar,1
nere,0
franhette,0
rey francis,1
carlos,1
jimber,1
alfredo,1
elsa,0
elpedia paras,0
"janice, pe",0
naida,0
rodolfo,1
melody,0
marelyn,0
anisa,0
martin soc,1
filoteo,1
susana arante,0
roslyn,0
leticia,1
roselyn,0
antonio,1
cleofe,1
hazel,0
marcelina,0
mai,0
raquel,0
maryjoy alejaga,0
rolando f.,1
caroline,0
noel,1
celso,1
jaime,1
edward,1
debraliza,0
honorata,0
maria romelou,0
afman,1
rheel james,1
garry,1
harold,1
mary angel,0
marvin,0
adornaque,1
jermalyn,0
junmar,1
editha revilla,0
ernesto jr,1
ma. margarita,0
gerry magada,1
jay-ar,1
irene,0
roel,1
jose r.,1
mary jane,0
faustino,1
reynaldo,1
felixberto jr.,1
sarkia,0
fritziann rose,0
emely,0
elizabeth,0
ma. teresa,0
evilla,0
jasmin dianne,0
lorena,0
lourdes,0
